genID
I24297.AG
I24298.AG
I24299.AG
I24339.AG
I24340.AG
I24341.AG
I24346.AG
I24347.AG
I24348.AG
I24496.AG
I24497.AG
I24498.AG
I24499.AG
I24500.AG
I24501.AG
I24502.AG
I24503.AG
I24504.AG
I24505.AG
I24506.AG
I24507.AG
I24508.AG
I24509.AG
I24510.AG
I24511.AG
I24512.AG
I16817.AG
I24513.AG
I16818.AG
I24514.AG
I16821.AG
I24515.AG
I24517.AG
I24518.AG
I24519.AG
I24520.AG
I24522.AG
I24523.AG
I24524.AG
I24525.AG
I24526.AG
I24527.AG
I24528.AG
I24529.AG
I24530.AG
I24531.AG
I24532.AG
I24567.AG
I24568.AG
I24569.AG
I24570.AG
I24572.AG
I24573.AG
I24574.AG
I24575.AG
I24576.AG
I24577.AG
I24578.AG
I24579.AG
I24580.AG
I24581.AG
I24582.AG
I24230.AG
I24583.AG
I24236.AG
I24237.AG
I24584.AG
I24238_d.AG
I24239_d.AG
I24585.AG
I24240_d.AG
I24241.AG
I24586.AG
I24242.AG
I24587.AG
I24243.AG
I24588.AG
I24589.AG
I24244.AG
I18440.AG
I24590.AG
I18445.AG
I24246.AG
I24591.AG
I24247.AG
I24592.AG
I18450.AG
I18461.AG
I24248.AG
I24593.AG
I24594.AG
I18958.AG
I24595.AG
I24249.AG
I18959_d.AG
I24250_d.AG
I24596.AG
I24252_d.AG
I24597.AG
I24598.AG
I24253.AG
I24603.AG
I24254.AG
I24255.AG
I24604.AG
I24605.AG
I24256_d.AG
I24257.AG
I24606.AG
I24258.AG
I24259.AG
I24607.AG
I24608.AG
I24260.AG
I24609.AG
I24261.AG
I24610.AG
I24612_d.AG
I24262_d.AG
I24613.AG
I24263.AG
I24614.AG
I24264.AG
I24265.AG
I24615.AG
I24616_d.AG
I24617.AG
I18496.AG
I24618.AG
I18502.AG
I18498.AG
I18501.AG
I18503.AG
I18462.AG
I18443.AG
I18496_enhanced.AG
I18446_d.AG
I18504.AG
RBC1_d.AG
RBC2_d.AG
I24251.AG
I25082.AG
I25187.AG
I25188.AG
I25190.AG
I25191.AG
I16819.AG
I16820.AG
I16822.AG
I16997.AG
I16998.AG
I18442.AG
I18444.AG
I18447.AG
I18495.AG
